HD001, 03/01/2024, 81000.0, KH001, NV003, 350000.0, 269000.0
HD002, 05/01/2024, 60000.0, KH002, NV004, 420000.0, 360000.0
HD003, 08/02/2024, 26000.0, KH003, NV005, 275000.0, 249000.0
HD004, 10/02/2024, 179000.0, KH004, NV006, 390000.0, 211000.0
HD005, 12/03/2024, 160000.0, KH005, NV008, 510000.0, 350000.0
HD006, 15/03/2024, 31000.0, KH006, NV009, 295000.0, 264000.0
HD007, 17/04/2024, 177000.0, KH007, NV003, 480000.0, 303000.0
HD008, 20/04/2024, 80000.0, KH008, NV004, 330000.0, 250000.0
HD009, 22/05/2024, 130000.0, KH009, NV005, 415000.0, 285000.0
HD010, 25/05/2024, 228000.0, KH010, NV006, 365000.0, 137000.0
HD011, 28/06/2024, 75000.0, KH001, NV008, 270000.0, 195000.0
HD012, 30/06/2024, 46000.0, KH002, NV009, 410000.0, 364000.0
HD013, 02/07/2024, 230000.0, KH003, NV003, 385000.0, 155000.0
HD014, 05/07/2024, 60000.0, KH004, NV004, 460000.0, 400000.0
HD015, 07/08/2024, 70000.0, KH005, NV005, 520000.0, 450000.0
HD016, 10/08/2024, 83000.0, KH006, NV006, 310000.0, 227000.0
HD017, 12/09/2024, 25000.0, KH007, NV008, 450000.0, 425000.0
HD018, 15/10/2024, 150000.0, KH008, NV009, 400000.0, 250000.0
HD019, 18/11/2024, 76000.0, KH009, NV003, 390000.0, 314000.0
HD020, 20/12/2024, 124000.0, KH010, NV004, 365000.0, 241000.0
