PN001, 2024-01-10, 4500000, NCC001, NV001
PN002, 2024-01-15, 7200000, NCC002, NV002
PN003, 2024-01-20, 3800000, NCC003, NV003
PN004, 2024-02-02, 5600000, NCC004, NV004
PN005, 2024-02-10, 6100000, NCC005, NV005
PN006, 2024-02-18, 4200000, NCC006, NV006
PN007, 2024-03-05, 7500000, NCC007, NV007
PN008, 2024-03-12, 4900000, NCC008, NV008
PN009, 2024-03-22, 6800000, NCC009, NV009
PN010, 2024-04-01, 5300000, NCC010, NV010
PN011, 2024-04-10, 4700000, NCC001, NV002
PN012, 2024-04-18, 5900000, NCC002, NV003
PN013, 2024-05-03, 6400000, NCC003, NV004
PN014, 2024-05-15, 7000000, NCC004, NV005
PN015, 2024-05-25, 5200000, NCC005, NV006
PN016, 2024-06-08, 7600000, NCC006, NV007
PN017, 2024-06-19, 4100000, NCC007, NV008
PN018, 2024-07-02, 8450000, NCC008, NV009
PN019, 2024-07-12, 9200000, NCC009, NV010
PN020, 2024-07-25, 5000000, NCC010, NV001
